"Variables","Coefficient"
"Wind_SpeedMPH31.1",3.25413291894208
"Wind_SpeedMPH32.2",38.5231149262229
"Wind_SpeedMPH33.4",29.3808354838028
"Wind_SpeedMPH34.5",19.9386506118518
"Wind_SpeedMPH35.7",21.6553722641469
"Wind_SpeedMPH4.6",19.1530630978543
"Wind_SpeedMPH42.6",46.1704956295397
"Wind_SpeedMPH5.8",16.144545301806
"Wind_SpeedMPH6.9",19.3815409494322
"Wind_SpeedMPH8.1",21.1980844669764
"Wind_SpeedMPH9.2",23.4110983562556
"Wind_SpeedMPHCalm",33.0095335792327
"as.factor(hour)1",-1.20481272820155
"as.factor(hour)2",1.31370746042826
"as.factor(hour)3",0.339128189876635
"as.factor(hour)4",5.69746734224792
"as.factor(hour)5",10.6047280578457
"as.factor(hour)6",98.6241569016566
"as.factor(hour)7",153.693625098958
"as.factor(hour)8",163.714055236246
"as.factor(hour)9",169.465174047566
"as.factor(hour)10",170.943506887919
"as.factor(hour)11",169.570806652852
"as.factor(hour)12",163.650883102316
"as.factor(hour)13",155.120623570865
"as.factor(hour)14",137.468261719504
"as.factor(hour)15",112.965729353613
"as.factor(hour)16",120.974584283012
"as.factor(hour)17",98.9345159721628
"as.factor(hour)18",67.8256377678994
"as.factor(hour)19",62.4017168445176
"as.factor(hour)20",57.668044668818
"as.factor(hour)21",5.8419128481548
"as.factor(hour)22",-0.825383995696599
"as.factor(hour)23",-1.262047228727
"as.factor(Temperature)3",-24.9992082600198
"as.factor(Temperature)3.9",-38.8132444600498
"as.factor(Temperature)5",-59.9047519956631
"as.factor(Temperature)6.1",-72.8966310860734
"as.factor(Temperature)7",-50.958400872971
"as.factor(Temperature)8.1",-36.3247701293966
"as.factor(Temperature)9",-44.5324837339305
"as.factor(Temperature)10",-66.3931716794538
"as.factor(Temperature)10.9",-53.7710634992632
"as.factor(Temperature)12",-60.3545539553885
"as.factor(Temperature)12.9",-70.471824211036
"as.factor(Temperature)14",-77.1173811075356
"as.factor(Temperature)15.1",-57.9839044968721
"as.factor(Temperature)16",-86.7215023940055
"as.factor(Temperature)17.1",-99.6698758775384
"as.factor(Temperature)18",-98.7154873669513
"as.factor(Temperature)19",-102.537831543544
"as.factor(Temperature)19.9",-114.094414483033
"as.factor(Temperature)21",-127.852161396645
"as.factor(Temperature)21.9",-130.065976227084
"as.factor(Temperature)23",-133.450868100977
"as.factor(Temperature)24.1",-149.364271072125
"as.factor(Temperature)25",-143.368855550434
"as.factor(Temperature)26.1",-159.627440105624
"as.factor(Temperature)27",-167.543480231278
"as.factor(Temperature)28",-184.233512099631
"as.factor(Temperature)28.9",-187.241664445979
"as.factor(Temperature)30",-192.077892837481
"as.factor(Temperature)30.9",-199.9553647277
"as.factor(Temperature)32",-210.631871774273
"as.factor(Temperature)33.1",-207.811369101961
"as.factor(Temperature)33.8",-286.584990241609
"as.factor(Temperature)34",-226.498553539571
"as.factor(Temperature)35.1",-223.269589154414
"as.factor(Temperature)36",-240.18053881369
"as.factor(Temperature)37",-240.406917572812
"as.factor(Temperature)37.4",-232.38114633467
"as.factor(Temperature)37.9",-246.390512209573
"as.factor(Temperature)39",-257.098737777753
"as.factor(Temperature)39.2",-251.737766218477
"as.factor(Temperature)39.9",-263.181998359017
"as.factor(Temperature)41",-276.210091769899
"as.factor(Temperature)42.1",-270.80407442231
"as.factor(Temperature)42.8",-267.000401456054
"as.factor(Temperature)43",-280.281691066858
"as.factor(Temperature)44.1",-289.052892167795
"as.factor(Temperature)44.6",-319.359474522554
"as.factor(Temperature)45",-296.299081400511
"as.factor(Temperature)46",-310.004664037721
"as.factor(Temperature)46.9",-317.623629473765
"as.factor(Temperature)48",-309.448890799573
"as.factor(Temperature)48.9",-326.125743014593
"as.factor(Temperature)50",-328.659001518444
"as.factor(Temperature)51.1",-335.106900403858
"as.factor(Temperature)51.8",-438.757813167271
"as.factor(Temperature)52",-344.817647277945
"as.factor(Temperature)53.1",-349.951692228969
"as.factor(Temperature)53.6",-289.720208880385
"as.factor(Temperature)54",-351.710784562936
"as.factor(Temperature)55",-362.198876079585
"as.factor(Temperature)55.4",-325.544216703947
"as.factor(Temperature)55.9",-355.869021562597
"as.factor(Temperature)57",-375.331794782522
"as.factor(Temperature)57.2",-391.190638405269
"as.factor(Temperature)57.9",-381.266094876075
"as.factor(Temperature)59",-393.379859997637
"as.factor(Temperature)60.1",-388.42588705961
"as.factor(Temperature)60.8",-368.569371849304
"as.factor(Temperature)61",-387.46402476081
"as.factor(Temperature)62.1",-395.473055390104
"as.factor(Temperature)62.6",-441.316099483369
"as.factor(Temperature)63",-405.565627801156
"as.factor(Temperature)64",-409.609893920246
"as.factor(Temperature)64.4",-407.773761081399
"as.factor(Temperature)64.9",-409.633354568131
"as.factor(Temperature)66",-422.956360219883
"as.factor(Temperature)66.9",-419.069010758049
"as.factor(Temperature)68",-432.327295405262
"as.factor(Temperature)69.1",-432.97836381744
"as.factor(Temperature)69.8",-477.565791436862
"as.factor(Temperature)70",-428.608553238218
"as.factor(Temperature)71.1",-435.033049331395
"as.factor(Temperature)71.6",-513.073936149185
"as.factor(Temperature)72",-427.626220515119
"as.factor(Temperature)73",-439.565167452919
"as.factor(Temperature)73.4",-491.928463567829
"as.factor(Temperature)73.9",-440.788377092693
"as.factor(Temperature)75",-448.670230921945
"as.factor(Temperature)75.9",-454.880434756534
"as.factor(Temperature)77",-439.061235732906
"as.factor(Temperature)78.1",-442.795659232154
"as.factor(Temperature)78.8",-368.619951578791
"as.factor(Temperature)79",-445.226265606948
"as.factor(Temperature)80.1",-430.458042324589
"as.factor(Temperature)80.6",-275.749671887174
"as.factor(Temperature)81",-405.827105378895
"as.factor(Temperature)82",-404.334431299448
"as.factor(Temperature)82.9",-440.988811850954
"as.factor(Temperature)84",-489.531771425084
"as.factor(Temperature)84.9",-438.552849225775
"as.factor(Temperature)86",-370.499765111133
"as.factor(Temperature)87.1",-323.015931966307
"as.factor(Temperature)88",-303.575033171672
"as.factor(Temperature)89.1",-324.182088738568
"as.factor(Temperature)90",-323.449213194121
"as.factor(Temperature)91",-315.432403390778
"as.factor(Temperature)91.9",-207.646826564535
"day",-0.581823003948117
"Dew_PointF",6.63596350035144
"Wind_DirectionEast",34.6185211613158
"Wind_DirectionENE",41.1866798986813
"Wind_DirectionESE",29.9103815034306
"Wind_DirectionNE",18.9332951656938
"Wind_DirectionNNE",10.2998079350635
"Wind_DirectionNNW",15.9538982181069
"Wind_DirectionNorth",14.1451916251678
"Wind_DirectionNW",8.71830828196689
"Wind_DirectionSE",23.6004350797914
"Wind_DirectionSouth",10.2658560455793
"Wind_DirectionSSE",15.240955604519
"Wind_DirectionSSW",7.42973483457606
"Wind_DirectionSW",2.55085120999423
"Wind_DirectionVariable",13.61676058883
"Wind_DirectionWest",-3.16436214876365
"Wind_DirectionWNW",9.67088125763685
"as.factor(Humidity)15",-88.2828121117409
"as.factor(Humidity)16",77.2033753296407
"as.factor(Humidity)17",-24.8837794009054
"as.factor(Humidity)18",12.6725351830784
"as.factor(Humidity)19",15.1081106146407
"as.factor(Humidity)20",-29.6673666046324
"as.factor(Humidity)21",-20.4160698095731
"as.factor(Humidity)22",-50.9288209472222
"as.factor(Humidity)23",-60.749538459538
"as.factor(Humidity)24",-39.253032132588
"as.factor(Humidity)25",-50.2422410087356
"as.factor(Humidity)26",-58.3922374666976
"as.factor(Humidity)27",-75.4446067057083
"as.factor(Humidity)28",-77.166675179611
"as.factor(Humidity)29",-87.5317242319168
"as.factor(Humidity)30",-88.4648762869288
"as.factor(Humidity)31",-106.902764982911
"as.factor(Humidity)32",-84.8109526938219
"as.factor(Humidity)33",-102.773648004248
"as.factor(Humidity)34",-113.501477439097
"as.factor(Humidity)35",-107.766389798296
"as.factor(Humidity)36",-120.250891017318
"as.factor(Humidity)37",-110.92930018374
"as.factor(Humidity)38",-127.234310627949
"as.factor(Humidity)39",-148.314384349951
"as.factor(Humidity)40",-130.612083147864
"as.factor(Humidity)41",-128.190827003376
"as.factor(Humidity)42",-151.045596819532
"as.factor(Humidity)43",-149.479343119323
"as.factor(Humidity)44",-163.012276159746
"as.factor(Humidity)45",-164.374475235117
"as.factor(Humidity)46",-157.50953589355
"as.factor(Humidity)47",-168.965724839432
"as.factor(Humidity)48",-164.149223502904
"as.factor(Humidity)49",-178.309184735675
"as.factor(Humidity)50",-181.02869010565
"as.factor(Humidity)51",-172.530731622837
"as.factor(Humidity)52",-178.760085530095
"as.factor(Humidity)53",-188.383533845893
"as.factor(Humidity)54",-200.158975341488
"as.factor(Humidity)55",-184.159308084919
"as.factor(Humidity)56",-185.66660561027
"as.factor(Humidity)57",-192.482407948992
"as.factor(Humidity)58",-195.015272150979
"as.factor(Humidity)59",-198.459405666301
"as.factor(Humidity)60",-191.081094575577
"as.factor(Humidity)61",-204.649332162471
"as.factor(Humidity)62",-198.873029908095
"as.factor(Humidity)63",-215.196374609834
"as.factor(Humidity)64",-208.160532541349
"as.factor(Humidity)65",-211.433329019598
"as.factor(Humidity)66",-213.284433818727
"as.factor(Humidity)67",-217.692293600912
"as.factor(Humidity)68",-223.33696928384
"as.factor(Humidity)69",-199.588509374291
"as.factor(Humidity)70",-231.292373420761
"as.factor(Humidity)71",-230.094698187341
"as.factor(Humidity)72",-237.033160636191
"as.factor(Humidity)73",-228.659965133498
"as.factor(Humidity)74",-234.975329695696
"as.factor(Humidity)75",-235.635463906407
"as.factor(Humidity)76",-241.929435296957
"as.factor(Humidity)77",-236.243759083122
"as.factor(Humidity)78",-245.538165266687
"as.factor(Humidity)79",-257.701675005801
"as.factor(Humidity)80",-250.856256509419
"as.factor(Humidity)81",-256.790399472696
"as.factor(Humidity)82",-268.282948003677
"as.factor(Humidity)83",-254.159116135447
"as.factor(Humidity)84",-276.123635178249
"as.factor(Humidity)85",-267.240824194798
"as.factor(Humidity)86",-256.886043680089
"as.factor(Humidity)87",-275.112800059643
"as.factor(Humidity)88",-260.841544578512
"as.factor(Humidity)89",-274.490049456758
"as.factor(Humidity)90",-283.07387188797
"as.factor(Humidity)91",-333.968560348553
"as.factor(Humidity)92",-284.193560038758
"as.factor(Humidity)93",-277.253127982846
"as.factor(Humidity)94",-236.141603225534
"as.factor(Humidity)95",-322.821346165257
"as.factor(Humidity)96",-282.303715427528
"as.factor(Humidity)97",-269.438986593627
"as.factor(Humidity)100",-303.466076241435
"as.factor(month)2",-15.5030134392914
"as.factor(month)3",-13.0538680439523
"as.factor(month)4",-20.536438874446
"as.factor(month)5",-27.7106445930833
"as.factor(month)6",-8.19941965952229
"as.factor(month)7",7.6311003240511
"as.factor(month)8",33.408799361582
"as.factor(month)9",-18.0949795940527
"as.factor(month)10",-21.0841847742398
"as.factor(month)11",-18.6140231820289
"as.factor(month)12",-18.863617230126
"ConditionsClear",111.745309220612
"ConditionsDrizzle",98.9012267623729
"ConditionsFog",110.043908203788
"ConditionsHaze",141.303505178047
"ConditionsHeavy Rain",84.3342831615598
"ConditionsHeavy Snow",96.6469073975474
"ConditionsHeavy Thunderstorms and Rain",223.235027010746
"ConditionsIce Pellets",110.36743194924
"ConditionsLight Drizzle",119.127225440628
"ConditionsLight Freezing Drizzle",151.809889266129
"ConditionsLight Freezing Rain",135.248291197722
"ConditionsLight Ice Pellets",140.333379936937
"ConditionsLight Rain",105.408383397588
"ConditionsLight Snow",109.999862029538
"ConditionsLight Thunderstorms and Rain",188.96509660042
"ConditionsMostly Cloudy",116.219802441318
"ConditionsOvercast",111.279978471178
"ConditionsPartly Cloudy",121.97657357281
"ConditionsPatches of Fog",240.900199867364
"ConditionsRain",99.3356498706289
"ConditionsScattered Clouds",124.343248007773
"ConditionsSnow",102.224278499978
"ConditionsThunderstorm",210.809181695229
"ConditionsThunderstorms and Rain",122.324668741185
"Day.of.Week",4.43633891519496
